"","date","id","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","series","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"3036",2020-03-25,"f44d4296",0,0,67,8,107038,2,"Sweden","Örebro",NA,67,8,5.25997719942499,11.7759528348641,7.87027594261402,1.51765155212832,2.16418307530526,1.84091731371679,0.0587892835401386,0.148792921607454,0.088304457963077,0.119277747184515,0.103791102573796,3.0859503654884e-06,1.05133932740304,4.52041333725191,"Sweden","Örebro",NA,0
"3037",2020-03-26,"f44d4296",0,0,73,6,107038,2,"Sweden","Örebro",NA,73,6,6.7405967371216,14.9153527729423,10.0268827775293,1.62563358380659,2.26378324877458,1.94470841629059,0.0578247889912661,0.147115526971483,0.0871061798597988,0.117834136102951,0.102470157981375,3.42150393538335e-06,1.05133932740304,4.49851403799844,"Sweden","Örebro",NA,0
"3038",2020-03-27,"f44d4296",0,0,79,6,107038,2,"Sweden","Örebro",NA,79,6,5.81174114333888,12.8974729552568,8.65775803653386,1.73197217210695,2.36238497643697,2.04717857427196,0.0567317780782648,0.145416296907106,0.0858143696051754,0.116333705380196,0.101074037492686,3.95593763930541e-06,1.05133932740304,4.46755478574665,"Sweden","Örebro",NA,0
"3039",2020-03-28,"f44d4296",0,0,87,8,107038,2,"Sweden","Örebro",NA,87,8,4.09581352873223,9.22638905043086,6.14732210756046,1.83664046532604,2.45986475820325,2.14825261176465,0.0553872844271551,0.143559548180665,0.0843018905456741,0.114644942062146,0.0994734163039099,4.88165231547229e-06,1.05133932740304,4.42235018304296,"Sweden","Örebro",NA,0
"3040",2020-03-29,"f44d4296",0,0,90,3,107038,2,"Sweden","Örebro",NA,90,3,2.93162956109866,6.76255064302556,4.45256031666282,1.93947559893046,2.55597645720666,2.24772602806856,0.0539114310605218,0.141655696887608,0.0826856824809164,0.112881445467214,0.097783563974065,6.25719658648805e-06,1.05133932740304,4.36842822405776,"Sweden","Örebro",NA,0
"3041",2020-03-30,"f44d4296",0,0,107,17,107038,2,"Sweden","Örebro",NA,107,17,5.83476879956247,12.9298315977764,8.68576870462843,2.04041080383338,2.65060838025187,2.34550959204262,0.052202802287669,0.13958354211906,0.0808578414917507,0.110928502914978,0.0958931722033644,8.47087065724307e-06,1.05133932740304,4.30179841105839,"Sweden","Örebro",NA,0
"3042",2020-03-31,"f44d4296",0,0,118,11,107038,2,"Sweden","Örebro",NA,118,11,13.9564528460348,29.9475572154906,20.4441108912059,2.13923656559882,2.74356896289316,2.44140276424599,0.0506777141620975,0.137733919965856,0.0792263279078595,0.109185306220094,0.0942058170639766,1.10838729177397e-05,1.05133932740304,4.24185747299343,"Sweden","Örebro",NA,0
"3043",2020-04-01,"f44d4296",0,0,123,5,107038,2,"Sweden","Örebro",NA,123,5,10.7265579289941,23.169715702364,15.7648754413009,2.23613922406015,2.83507793855978,2.53560858130996,0.0491179722086758,0.135870766863316,0.077567087387709,0.107421651684283,0.092494369535996,1.46164520222231e-05,1.05133932740304,4.17936122484543,"Sweden","Örebro",NA,0
"3044",2020-04-02,"f44d4296",0,0,151,28,107038,2,"Sweden","Örebro",NA,151,28,13.5690925959032,29.0649794313508,19.8591388836984,2.33109121791257,2.92511468377934,2.62810295084596,0.0472030407046771,0.133666750444669,0.0755573553638413,0.105312435785505,0.0904348955746732,2.06605354370207e-05,1.05133932740304,4.09996607374381,"Sweden","Örebro",NA,0
"3045",2020-04-03,"f44d4296",0,0,171,20,107038,2,"Sweden","Örebro",NA,171,20,11.5508555674101,24.8503202209487,16.9423274574678,2.42375060994896,3.0133250828923,2.71853784642063,0.0451333308585602,0.131323119538215,0.0733978177280084,0.103058632668766,0.0882282251983873,3.00221751787081e-05,1.05133932740304,4.01263644934654,"Sweden","Örebro",NA,0
